puzzleId	word	row	column	direction	clueContent	Edge (y/n)	Clue length	Image prompt	Image addition (if needed)	Puzzle number	Difficult word (y / n)	Art comments (build test)		
000248	AWESOME	2	1	across	Epic 	Y	5			1				
000248	WON	3	1	across	Victorious	Y	10			1				
000248	REL	3	5	across	__ative 	N	8			1				
000248	AK	4	1	across	<i>	Y	3	Image of a birthday cake 	C__e	1				
000248	PEAS	4	4	across	Two __ in a pod	N	15			1				
000248	RETRO	5	1	across	Style from the past	Y	19			1				
000248	A	5	7	across	Apricot	N	7			1				
000248	D	6	1	across	Delta	Y	5			1				
000248	EAST	6	3	across	E on a compass	N	14			1				
000248	EASY	7	1	across	Effortless 	Y	11			1				
000248	EE	7	6	across	Gr__n	N	5			1				
000248	DIT	8	1	across	__to (same)	Y	11			1				
000248	CAM	8	5	across	<i>	Y	3	Image of a camera 	__era 	1				
000248	AWARDED	1	2	down	Honored with 	Y	13			1				
000248	WOKE	1	3	down	Awakened	Y	8			1				
000248	EN	1	4	down	<i>	Y	3	Image of a picket fence	F__ce 	1				
000248	S	1	5	down	Save	Y	4			1				
000248	OREOS	1	6	down	<i>	Y	3	Image of a jar of black and white cookies		1				
000248	MEA	1	7	down	<i>	Y	3	Image of a plate of food/ tray of food	__l	1				
000248	ELSA	1	8	down	"Frozen" queen	Y	14			1				
000248	PRAY	3	5	down	Meditate 	N	9			1				
000248	TEST	4	4	down	Experiment 	N	11			1				
000248	TEA	5	7	down	Brewed drink	N	12			1				
000248	AI	6	3	down	Br__n 	N	6			1				
000248	EM	6	8	down	<i>	Y	3	Image of a gem 	G__	1				
000248	C	7	6	down	Case	N	4			1				1
000249	GLASSES	2	1	across	<i>	Y	3	Image of spectacles		2				
000249	LID	3	1	across	Jar topper	Y	10			2				
000249	TOO	3	5	across	I love you __	N	13			2				
000249	AA	4	1	across	Ann Arbor	Y	9			2				
000249	BAND	4	4	across	Music group	N	11			2				
000249	CREAM	5	1	across	<i>	Y	3	Image of an ice cream in a cup	ICE __	2				
000249	A	5	7	across	Academy	N	7			2				
000249	LIPS	6	3	across	Gloss targets	N	13			2				
000249	I	6	1	across	Information	Y	11			2				
000249	ENOL	7	1	across	___a holmes	Y	11			2				
000249	PC	7	6	across	Personal computer	N	17			2				
000249	RAN	8	1	across	Competed in marathon	Y	20			2				
000249	WAD	8	5	across	Cash bundle	Y	11			2				
000249	GLACIER	1	2	down	<i>	Y	3	Image of a glacier		2				
000249	LIAR	1	3	down	Truth twister	Y	13			2				
000249	AD	1	4	down	Commercial	Y	10			2				
000249	STAMP	1	6	down	Envelope corner square	Y	22			2				
000249	EON	1	7	down	Ages and ages	Y	13			2				
000249	SODA	1	8	down	<i>	Y	3	Image of a soda can		2				
000249	S	1	5	down	Short	Y	5			2				
000249	BAIL	3	5	down	Leave suddenly	N	14			2				
000249	ELON	4	4	down	__ Musk 	N	8			2				
000249	SPA	5	7	down	Mud bath spot	N	13			2				
000249	NA	6	3	down	Not applicable	N	14			2				
000249	CD	6	8	down	<i>	Y	3	Image of a CD		2				
000249	W	7	6	down	Water	N	5			2				
000250	BALCONY	2	1	across	<i>	Y	3	Image of a balcony as seen from the outside of a building		3				
000250	ARK	3	1	across	Biblical boat	Y	13			3				
000250	WEE	3	5	across	Tiny	N	4			3				
000250	RE	4	1	across	<i>	Y	3	Image of an orb	SPHE__	3				
000250	PLEA	4	4	across	Legal request	N	13			3				
000250	BALE	5	1	across	Hay bundle	Y	10			3				
000250	DH	5	6	across	Dining Hall	N	11			3				
000250	ASPS	6	3	across	Deadly snakes	N	13			3				
